speciesCode,english_name,spanish_name,scientific_name,target_species,iconic_species,tour_visibility,tour_fit,target_difficulty,photography_difficulty,best_time_of_day,best_months,habitat_primary,habitat_secondary,elevation_min_m,elevation_max_m,route_cluster_primary,route_cluster_secondary,primary_hotspot_name,primary_hotspot_ebird_loc_id,secondary_hotspot_name,secondary_hotspot_ebird_loc_id,walking_level,access_level,reliability_score_manual,rarity_score_manual,photography_score_manual,opportunity_weight_manual,pricing_complexity,custom_tour_priority,half_day_visibility_note_en,half_day_visibility_note_es,full_day_visibility_note_en,full_day_visibility_note_es,guide_notes_en,guide_notes_es,internal_notes,needs_review,ebird_enabled,active
pavpig2,Pale-vented Pigeon,Paloma Colorada,Patagioenas cayennensis,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
batpig1,Band-tailed Pigeon,Paloma Torcaza,Patagioenas fasciata,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
plupig2,Plumbeous Pigeon,Paloma Plomiza,Patagioenas plumbea,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rudpig,Ruddy Pigeon,Paloma Vinosa,Patagioenas subvinacea,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate,moderate,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
duspig2,Dusky Pigeon,Paloma Oscura,Patagioenas goodsoni,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
cogdov,Common Ground Dove,Columbina Común,Columbina passerina,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
mcgdov1,Maroon-chested Ground Dove,Tortolita Pechimorada,Paraclaravis mondetoura,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
ruqdov,Ruddy Quail-Dove,Paloma Perdiz Común,Geotrygon montana,TRUE,FALSE,custom_only,custom_private,specialist,hard,early_morning,year_round,forest understory,quiet trails and dense cover,1600,2400,tandayapa_bellavista,,Bellavista Cloud Forest Lodge,,,,moderate,moderate,35,90,40,1,premium_plus,medium,Possible only when recent activity and access align.,Posible solo cuando la actividad reciente y el acceso coinciden.,Better with a full day or private route flexibility.,Mejor con un día completo o una ruta privada flexible.,Starter enrichment batch. Review recent eBird activity and local access before quoting. Suggested route: Tandayapa and Bellavista Corridor.,Enriquecimiento inicial. Revisar actividad reciente en eBird y acceso local antes de cotizar. Ruta sugerida: Corredor Tandayapa y Bellavista.,Added in 2026-06-20 next-batch enrichment; needs guide review for final tuning.,TRUE,TRUE,TRUE
whtdov,White-tipped Dove,Paloma Montaraz Común,Leptotila verreauxi,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
paldov1,Pallid Dove,Paloma Montaraz Pálida,Leptotila pallida,TRUE,FALSE,custom_only,custom_private,easy,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,75,25,75,50,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
wtqdov1,White-throated Quail-Dove,Paloma Perdiz Gorjiblanca,Zentrygon frenata,TRUE,FALSE,custom_only,custom_private,specialist,hard,early_morning,year_round,montane cloud forest,"forest edge, trails, and mixed flocks",,,tandayapa_bellavista,,Recent hotspot to review,,,,moderate_to_hard,moderate,35,80,40,90,premium_plus,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Tandayapa and Bellavista Corridor.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Corredor Tandayapa y Bellavista.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
eardov1,Eared Dove,Zenaida Torcaza,Zenaida auriculata,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
smbani,Smooth-billed Ani,Garrapatero Aní,Crotophaga ani,TRUE,FALSE,half_day,half_day,easy,easy,morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,75,25,75,50,standard,medium,Possible on a half-day route when recent activity is close to Mindo.,Posible en una ruta de medio dia cuando la actividad reciente esta cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
litcuc2,Little Cuckoo,Cuco Ardilla Menor,Coccycua minuta,TRUE,FALSE,custom_only,custom_private,moderate,easy,morning,year_round,lower elevation Choco forest,"forest edge, fruiting trees, and mixed flocks",,,milpe_silanche,,Recent hotspot to review,,,,moderate,private_or_rough_access,60,45,75,65,premium,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Milpe and Silanche Lowland Route.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Ruta Baja Milpe y Silanche.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
squcuc1,Squirrel Cuckoo,Cuco Ardilla Común,Piaya cayana,TRUE,FALSE,full_day,full_day,moderate,easy,morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
rubnig1,Rufous-bellied Nighthawk,Añapero Ventrirrufo,Lurocalis rufiventris,TRUE,FALSE,custom_only,custom_private,specialist,hard,dawn,to_review,forest edge and montane roads,,,,tandayapa_bellavista,,Tandayapa and Bellavista corridor,,,,moderate,moderate,42,,,,premium,medium,,,,,Dawn/dusk target; route and timing need manual guide review.,,Second-batch starter enrichment by Codex. Confirm current route/local reliability before quoting.,FALSE,TRUE,TRUE
compau,Common Pauraque,Chotacabras Pauraque,Nyctidromus albicollis,TRUE,FALSE,full_day,full_day,moderate,easy,dawn_or_dusk,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,60,45,75,65,standard,medium,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
lytnig1,Lyre-tailed Nightjar,Chotacabras Lira,Uropsalis lyra,TRUE,TRUE,custom_only,custom_private,specialist,hard,dawn,to_review,forest edge,montane road edges,,,paz_de_las_aves,,Paz de las Aves area,,,,moderate,special_access,62,,,,premium,high,,,,,Dawn/dusk specialist target. Needs manual guide confirmation before quote.,,Starter enrichment by Codex.,FALSE,TRUE,TRUE
compot1,Common Potoo,Nictibio Urutaú,Nyctibius griseus,TRUE,TRUE,custom_only,custom_private,specialist,hard,dawn,to_review,forest edge and roost sites,,,,mindo_town,,Mindo town and nearby gardens,,,,easy,moderate,50,,,,custom_quote,high,,,,,Night/roost target; offer only with ethical access and guide confirmation.,,Second-batch starter enrichment by Codex. Confirm current route/local reliability before quoting.,FALSE,TRUE,TRUE
spfswi1,Spot-fronted Swift,Vencejo Cuatroojos,Cypseloides cherriei,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
chcswi1,Chestnut-collared Swift,Vencejo Cuellirrojo,Streptoprocne rutila,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whcswi,White-collared Swift,Vencejo Acollarado,Streptoprocne zonaris,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
grrswi1,Gray-rumped Swift,Vencejo Ceniciento,Chaetura cinereiventris,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
barswi,Band-rumped Swift,Vencejo Lomiblanco,Chaetura spinicaudus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
whtswi1,White-tipped Swift,Vencejo Montañés,Aeronautes montivagus,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,cloud forest trails and forest edge,riparian forest and mixed flocks,,,rio_nambillo,,Recent hotspot to review,,,,moderate,moderate,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Rio Nambillo and Forest Trails.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Rio Nambillo y Senderos de Bosque.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
lstswi1,Lesser Swallow-tailed Swift,Vencejo Tijereta Chico,Panyptila cayennensis,TRUE,FALSE,custom_only,custom_private,hard,moderate,early_morning,year_round,"gardens, feeders, forest edge, and nearby reserves",open areas and secondary forest,,,mindo_town,,Recent hotspot to review,,,,easy,easy,45,65,60,80,premium,high,Better as part of a guided route unless recent activity is very close to Mindo.,Mejor como parte de una ruta guiada salvo que haya actividad reciente muy cerca de Mindo.,A full-day or private route gives better flexibility for this target.,Una ruta de dia completo o privada da mejor flexibilidad para esta especie.,Guide-review species. Use recent eBird activity and local route knowledge before recommending Mindo Town and Nearby Gardens.,Especie para revision del guia. Usar actividad reciente en eBird y conocimiento local antes de recomendar Pueblo de Mindo y Jardines Cercanos.,Auto-enriched activation row for public target selector; review before final quote.,TRUE,TRUE,TRUE
